provider,service_category,service_name,sku_hint,price_usd,unit_raw,unit_standardized,price_period,region,pricing_link,source_notes
AWS,Storage,Amazon S3,Standard,0.023,per GB per month,GB,month,us-east-1,https://aws.amazon.com/s3/pricing/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,t3.micro,0.0104,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,t3.medium,0.0416,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,t3.large,0.0832,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,t4g.micro,0.0084,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,t4g.medium,0.0336,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,t4g.large,0.0672,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,m5.large,0.096,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,m5.xlarge,0.192,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,m5.2xlarge,0.384,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,c5.large,0.085,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,c5.xlarge,0.17,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,c5.2xlarge,0.34,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,r5.large,0.126,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,r5.xlarge,0.252,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,m6i.large,0.096,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,c6i.large,0.085,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,r6i.large,0.12,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,m7g.large,0.076,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,c7g.large,0.072,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,r7g.large,0.1,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,p3.2xlarge (V100),3.06,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Compute,Amazon EC2,g5.xlarge (A10G),1.006,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/ec2/pricing/on-demand/,public pricing (approx; verify)
AWS,Containers/Kubernetes,Amazon EKS,Control plane,0.1,per cluster hour,cluster,hour,us-east-1,https://aws.amazon.com/eks/pricing/,public pricing (approx; verify)
AWS,Containers/Kubernetes,AWS Fargate,vCPU,0.04048,per vCPU hour,vCPU,hour,us-east-1,https://aws.amazon.com/fargate/pricing/,public pricing (approx; verify)
AWS,Containers/Kubernetes,AWS Fargate,GB memory,0.004445,per GB hour,GB,hour,us-east-1,https://aws.amazon.com/fargate/pricing/,public pricing (approx; verify)
AWS,Serverless,AWS Lambda,Requests,0.2,per 1M requests,request,per_million,us-east-1,https://aws.amazon.com/lambda/pricing/,public pricing (approx; verify)
AWS,Serverless,AWS Lambda,Duration (GB-second),1.67E-05,per GB-second,GB-second,second,us-east-1,https://aws.amazon.com/lambda/pricing/,public pricing (approx; verify)
AWS,Networking/CDN,Amazon CloudFront,Data transfer out (first 10TB),0.085,per GB,GB,unit,us-east-1,https://aws.amazon.com/cloudfront/pricing/,public pricing (approx; verify)
AWS,Networking,Elastic Load Balancing,ALB LCU-hour,0.008,per LCU hour,LCU,hour,us-east-1,https://aws.amazon.com/elasticloadbalancing/pricing/,public pricing (approx; verify)
AWS,Networking,AWS NAT Gateway,Per hour,0.045,per hour,gateway,hour,us-east-1,https://aws.amazon.com/vpc/pricing/,public pricing (approx; verify)
AWS,Database,Amazon RDS (MySQL),db.m6g.large,0.153,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/rds/mysql/pricing/,public pricing (approx; verify)
AWS,Database,Amazon RDS (PostgreSQL),db.m6g.large,0.171,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/rds/postgresql/pricing/,public pricing (approx; verify)
AWS,Database,Amazon DynamoDB,Write capacity unit,1.25,per 1M WCU,request,per_million,us-east-1,https://aws.amazon.com/dynamodb/pricing/on-demand/,public pricing (approx; verify)
AWS,Database,Amazon DynamoDB,Read capacity unit,0.25,per 1M RCU,request,per_million,us-east-1,https://aws.amazon.com/dynamodb/pricing/on-demand/,public pricing (approx; verify)
AWS,Analytics,Amazon Athena,Query scanned,5,per TB scanned,TB,unit,us-east-1,https://aws.amazon.com/athena/pricing/,public pricing (approx; verify)
AWS,Analytics,Amazon Redshift,ra3.4xlarge,1.086,per node hour,node,hour,us-east-1,https://aws.amazon.com/redshift/pricing/,public pricing (approx; verify)
AWS,AI/ML,Amazon SageMaker,ml.m5.xlarge (Notebook),0.226,per instance hour,instance,hour,us-east-1,https://aws.amazon.com/sagemaker/pricing/,public pricing (approx; verify)
